	901|1.5,Tm|0.3	P6|20,Tm|0.3	NT|3,SR|2.4	RY|2,P6|20	PLX|60,P6|20	901|1.5,SR|2.4	P6|20	ST|0.6,Tm|0.3	ZS|0.6,P6|20	P6|20,HN|6	901|1.5,HN|6	NT|3,Tm|0.3	NT|6	AK|10	AK|5,Tm|0.3	901|1.5,PLX|60	ZS|0.6,NT|3	AK|5	ZS|0.6,Tm|0.3	P6|20,SR|2.4	RY|2,HN|6	RY|2,RO|3.5	PLX|60,RO|3.5	ST|0.6,NT|3	PLX|60	PLX|60,Tm|0.3	901|1.5	ZS|0.6,PLX|60	ZS|0.6,HN|6	RY|2,SR|2.4	AK|5,ZS|0.6	RY|2,ZS|0.6	ST|0.6,HN|6	901|1.5,NT|3	RO|3.5	P6|20,RO|3.5	Tm|0.6	AK|5,ST|0.6	Tm|0.3	RY|2,Tm|0.3	P6|20,ST|0.6	PLX|60,ST|0.6	PLX|60,SR|2.4	ST|1.2	HN|6,NT|3	ZS|0.6,RO|3.5	P6|20,NT|3	RY|2,AK|5	ST|0.6,RO|3.5	RY|2,NT|3	RY|2	901|1.5,ZS|0.6	RY|2,901|1.5	HN|6	AK|5,PLX|60	HN|6,SR|2.4	PLX|60,HN|6	RY|2,ST|0.6	ST|0.6	SR|2.4,RO|3.5	901|1.5,P6|20	ZS|1.2	901|1.5,ST|0.6	NT|3,RO|3.5	PLX|60,NT|3	NT|3	ZS|0.6,ST|0.6	901|1.5,RO|3.5	AK|5,NT|3	P6|40	AK|5,901|1.5	901|3	RO|7	SR|2.4,Tm|0.3	AK|5,HN|6	AK|5,P6|20	ZS|0.6	SR|4.8	HN|6,RO|3.5	RO|3.5,Tm|0.3	SR|2.4	RY|2,PLX|60	ST|0.6,SR|2.4	HN|12	HN|6,Tm|0.3	PLX|120	AK|5,RO|3.5	ZS|0.6,SR|2.4	AK|5,SR|2.4
LCK	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LDHA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LRP6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LYN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MAP1LC3A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MAP1LC3B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MAP2K1	0.345423360513	0.002006990824	0.00351028502071	0.000799792639121	0.036707635388	0.343900565786	0.0	0.002006990824	0.0064639497199	0.0	0.343416369689	0.00503307974773	0.00302608892373	0.00619346520507	0.00820045602907	0.366157846153	0.00949003864363	0.00619346520507	0.0084709405439	0.000484196096986	0.000799792639121	0.000799792639121	0.036707635388	0.00302608892373	0.036707635388	0.038714626212	0.343416369689	0.0431715851079	0.0064639497199	0.00128398873611	0.0064639497199	0.00726374235902	0.0	0.346442458612	0.0	0.0	0.002006990824	0.00619346520507	0.002006990824	0.00280678346312	0.0	0.036707635388	0.037191831485	0.0	0.00302608892373	0.0064639497199	0.00302608892373	0.00699325784419	0.0	0.00382588156285	0.000799792639121	0.349880319409	0.344216162328	0.0	0.0429011005931	0.000484196096986	0.036707635388	0.000799792639121	0.0	0.000484196096986	0.343416369689	0.0064639497199	0.343416369689	0.00302608892373	0.0397337243117	0.00302608892373	0.0064639497199	0.343416369689	0.0092195541288	0.0	0.349609834894	0.343416369689	0.0	0.00249118692099	0.00619346520507	0.00619346520507	0.0064639497199	0.000484196096986	0.0	0.002006990824	0.000484196096986	0.0375074280271	0.000484196096986	0.0	0.002006990824	0.036707635388	0.00619346520507	0.00694814581689	0.00667766130205
MAP2K2	0.491158199993	0.00222021411046	0.00377314830132	0.000843795381613	0.0434746638966	0.489400229233	0.0	0.00222021411046	0.00698845732962	0.0	0.488937985883	0.0055311190622	0.00331090495174	0.00670149669587	0.00892171080632	0.515716356491	0.0102993622814	0.00670149669587	0.00920867144008	0.000462243349575	0.000843795381613	0.000843795381613	0.0434746638966	0.00331090495174	0.0434746638966	0.0456948780071	0.488937985883	0.0504631212262	0.00698845732962	0.00130603873119	0.00698845732962	0.00783225271123	0.0	0.492248890835	0.0	0.0	0.00222021411046	0.00670149669587	0.00222021411046	0.00306400949207	0.0	0.0434746638966	0.0439369072462	0.0	0.00331090495174	0.00698845732962	0.00331090495174	0.00754529207748	0.0	0.00415470033336	0.000843795381613	0.495926443213	0.489781781265	0.0	0.0501761605925	0.000462243349575	0.0434746638966	0.000843795381613	0.0	0.000462243349575	0.488937985883	0.00698845732962	0.488937985883	0.00331090495174	0.0467855688483	0.00331090495174	0.00698845732962	0.488937985883	0.0100124016476	0.0	0.495639482579	0.488937985883	0.0	0.00268245746003	0.00670149669587	0.00670149669587	0.00698845732962	0.000462243349575	0.0	0.00222021411046	0.000462243349575	0.0443184592782	0.000462243349575	0.0	0.00222021411046	0.0434746638966	0.00670149669587	0.00745070067919	0.00716374004544
MAPK1	0.0684673341758	0.00426728894614	0.0212507581744	0.000296205416608	0.0418558863536	0.0646770597282	0.0	0.00426728894614	0.0105831938772	0.0	0.0642000452297	0.025041032622	0.0207737436759	0.00913524171364	0.0134025306598	0.0725183385662	0.0313569375531	0.00913524171364	0.0148504828234	0.00047701449849	0.000296205416608	0.000296205416608	0.0418558863536	0.0207737436759	0.0418558863536	0.0461231752997	0.0642000452297	0.0524390802308	0.0105831938772	0.000773219915098	0.0105831938772	0.0108793992938	0.0	0.0849737889056	0.0	0.0	0.00426728894614	0.00913524171364	0.00426728894614	0.00456349436275	0.0	0.0418558863536	0.042332900852	0.0	0.0207737436759	0.0105831938772	0.0207737436759	0.00943144713025	0.0	0.0210699490925	0.000296205416608	0.0747832391069	0.0644962506463	0.0	0.0509911280672	0.00047701449849	0.0418558863536	0.000296205416608	0.0	0.00047701449849	0.0642000452297	0.0105831938772	0.0642000452297	0.0207737436759	0.0626296300295	0.0207737436759	0.0105831938772	0.0642000452297	0.0299089853895	0.0	0.0733352869433	0.0642000452297	0.0	0.00474430344463	0.00913524171364	0.00913524171364	0.0105831938772	0.00047701449849	0.0	0.00426728894614	0.00047701449849	0.0421520917702	0.00047701449849	0.0	0.00426728894614	0.0418558863536	0.00913524171364	0.0110602083757	0.00961225621213
MAPK14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
